State,EV,Dem %,Rep %,Date,>9,5-9,<5,Tie,<5,5-9,>9,Poll-duration
Hawaii,4,54,45,,Jan 01,,4,,,,,,Election 2004
Idaho,4,30,69,,Jan 01,,,,,,,4,Election 2004
Illinois,21,55,45,,Jan 01,21,,,,,,,Election 2004
Indiana,11,39,60,,Jan 01,,,,,,,11,Election 2004
Iowa,7,49,50,,Jan 01,,,,,7,,,Election 2004
Kansas,6,37,62,,Jan 01,,,,,,,6,Election 2004
Kentucky,8,40,60,,Jan 01,,,,,,,8,Election 2004
Louisiana,9,42,57,,Jan 01,,,,,,,9,Election 2004
Maine,4,53,45,,Jan 01,,4,,,,,,Election 2004
Maryland,10,56,43,,Jan 01,10,,,,,,,Election 2004
Massachusetts,12,62,37,,Jan 01,12,,,,,,,Election 2004
Michigan,17,51,48,,Jan 01,,,17,,,,,Election 2004
Minnesota,10,51,48,,Jan 01,,,10,,,,,Election 2004
Mississippi,6,40,60,,Jan 01,,,,,,,6,Election 2004
Missouri,11,46,53,,Jan 01,,,,,,11,,Election 2004
Montana,3,39,59,,Jan 01,,,,,,,3,Election 2004
Nebraska,5,32,67,,Jan 01,,,,,,,5,Election 2004
Nevada,5,48,51,,Jan 01,,,,,5,,,Election 2004
New Hampshire,4,50,49,,Jan 01,,,4,,,,,Election 2004
New Jersey,15,53,47,,Jan 01,,15,,,,,,Election 2004
New Mexico,5,49,50,,Jan 01,,,,,5,,,Election 2004
New York,31,58,41,,Jan 01,31,,,,,,,Election 2004
North Carolina,15,44,56,,Jan 01,,,,,,,15,Election 2004
North Dakota,3,36,63,,Jan 01,,,,,,,3,Election 2004
Ohio,20,49,51,,Jan 01,,,,,20,,,Election 2004
Oklahoma,7,34,66,,Jan 01,,,,,,,7,Election 2004
Oregon,7,52,48,,Jan 01,,,7,,,,,Election 2004
Pennsylvania,21,51,49,,Jan 01,,,21,,,,,Election 2004
Rhode Island,4,60,39,,Jan 01,4,,,,,,,Election 2004
South Carolina,8,41,58,,Jan 01,,,,,,,8,Election 2004
South Dakota,3,38,60,,Jan 01,,,,,,,3,Election 2004
Tennessee,11,43,57,,Jan 01,,,,,,,11,Election 2004
Texas,34,38,61,,Jan 01,,,,,,,34,Election 2004
Utah,5,26,71,,Jan 01,,,,,,,5,Election 2004
Vermont,3,59,39,,Jan 01,3,,,,,,,Election 2004
Virginia,13,45,54,,Jan 01,,,,,,13,,Election 2004
Washington,11,53,46,,Jan 01,,11,,,,,,Election 2004
West Virginia,5,43,56,,Jan 01,,,,,,,5,Election 2004
Wisconsin,10,50,49,,Jan 01,,,10,,,,,Election 2004
Wyoming,3,29,69,,Jan 01,,,,,,,3,Election 2004
Alabama,9,37,63,,Jan 01,,,,,,,9,Election 2004
Alaska,3,35,62,,Jan 01,,,,,,,3,Election 2004
Arizona,10,45,55,,Jan 01,,,,,,,10,Election 2004
Arkansas,6,45,54,,Jan 01,,,,,,6,,Election 2004
California,55,59,41,,Jan 04,55,,,,,,,Surve+Elect
Colorado,9,47,53,,Jan 04,,,,,,9,,Surve+Elect
Connecticut,7,54,44,,Jan 01,7,,,,,,,Election 2004
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,53,46,,Jan 01,,3,,,,,,Election 2004
Florida,27,47,52,,Jan 01,,,,,,27,,Election 2004
Georgia,15,41,58,,Jan 01,,,,,,,15,Election 2004
Hawaii,4,54,45,,Jan 01,,4,,,,,,Election 2004
Idaho,4,30,69,,Jan 01,,,,,,,4,Election 2004
Illinois,21,55,45,,Jan 01,21,,,,,,,Election 2004
Indiana,11,39,60,,Jan 01,,,,,,,11,Election 2004
Iowa,7,49,50,,Jan 01,,,,,7,,,Election 2004
Kansas,6,37,62,,Jan 01,,,,,,,6,Election 2004
Kentucky,8,40,60,,Jan 01,,,,,,,8,Election 2004
Louisiana,9,42,57,,Jan 01,,,,,,,9,Election 2004
Maine,4,53,45,,Jan 01,,4,,,,,,Election 2004
Maryland,10,56,43,,Jan 01,10,,,,,,,Election 2004
Massachusetts,12,62,37,,Jan 01,12,,,,,,,Election 2004
Michigan,17,51,48,,Jan 01,,,17,,,,,Election 2004
Minnesota,10,51,48,,Jan 01,,,10,,,,,Election 2004
Mississippi,6,40,60,,Jan 01,,,,,,,6,Election 2004
Missouri,11,46,53,,Jan 01,,,,,,11,,Election 2004
Montana,3,39,59,,Jan 01,,,,,,,3,Election 2004
Nebraska,5,32,67,,Jan 01,,,,,,,5,Election 2004
Nevada,5,48,51,,Jan 01,,,,,5,,,Election 2004
New Hampshire,4,50,49,,Jan 01,,,4,,,,,Election 2004
New Jersey,15,53,47,,Jan 01,,15,,,,,,Election 2004
New Mexico,5,49,50,,Jan 01,,,,,5,,,Election 2004
New York,31,58,41,,Jan 01,31,,,,,,,Election 2004
North Carolina,15,44,56,,Jan 01,,,,,,,15,Election 2004
North Dakota,3,36,63,,Jan 01,,,,,,,3,Election 2004
Ohio,20,49,51,,Jan 01,,,,,20,,,Election 2004
Oklahoma,7,34,66,,Jan 01,,,,,,,7,Election 2004
Oregon,7,52,48,,Jan 01,,,7,,,,,Election 2004
Pennsylvania,21,51,49,,Jan 01,,,21,,,,,Election 2004
Rhode Island,4,60,39,,Jan 01,4,,,,,,,Election 2004
South Carolina,8,41,58,,Jan 01,,,,,,,8,Election 2004
South Dakota,3,38,60,,Jan 01,,,,,,,3,Election 2004
Tennessee,11,43,57,,Jan 01,,,,,,,11,Election 2004
Texas,34,38,61,,Jan 01,,,,,,,34,Election 2004
Utah,5,26,71,,Jan 01,,,,,,,5,Election 2004
Vermont,3,59,39,,Jan 01,3,,,,,,,Election 2004
Virginia,13,45,54,,Jan 01,,,,,,13,,Election 2004
Washington,11,54,46,,Jan 04,,11,,,,,,Surve+Elect
West Virginia,5,43,56,,Jan 01,,,,,,,5,Election 2004
Wisconsin,10,50,49,,Jan 01,,,10,,,,,Election 2004
Wyoming,3,29,69,,Jan 01,,,,,,,3,Election 2004
Alabama,9,37,63,,Jan 01,,,,,,,9,Election 2004
Alaska,3,35,62,,Jan 01,,,,,,,3,Election 2004
Arizona,10,45,55,,Jan 01,,,,,,,10,Election 2004
Arkansas,6,45,54,,Jan 01,,,,,,6,,Election 2004
California,55,55,44,,Jan 01,55,,,,,,,Election 2004
Colorado,9,47,52,,Jan 01,,,,,,9,,Election 2004
Connecticut,7,54,44,,Jan 01,7,,,,,,,Election 2004
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,53,46,,Jan 01,,3,,,,,,Election 2004
Florida,27,47,52,,Jan 01,,,,,,27,,Election 2004
Georgia,15,41,58,,Jan 01,,,,,,,15,Election 2004
Hawaii,4,54,45,,Jan 01,,4,,,,,,Election 2004
Idaho,4,30,69,,Jan 01,,,,,,,4,Election 2004
Illinois,21,55,45,,Jan 01,21,,,,,,,Election 2004
Indiana,11,39,60,,Jan 01,,,,,,,11,Election 2004
Iowa,7,49,50,,Jan 01,,,,,7,,,Election 2004
Kansas,6,37,62,,Jan 01,,,,,,,6,Election 2004
Kentucky,8,40,60,,Jan 01,,,,,,,8,Election 2004
Louisiana,9,42,57,,Jan 01,,,,,,,9,Election 2004
Maine,4,53,45,,Jan 01,,4,,,,,,Election 2004
Maryland,10,56,43,,Jan 01,10,,,,,,,Election 2004
Massachusetts,12,62,37,,Jan 01,12,,,,,,,Election 2004
Michigan,17,51,48,,Jan 01,,,17,,,,,Election 2004
Minnesota,10,51,48,,Jan 01,,,10,,,,,Election 2004
Mississippi,6,40,60,,Jan 01,,,,,,,6,Election 2004
Missouri,11,46,53,,Jan 01,,,,,,11,,Election 2004
Montana,3,39,59,,Jan 01,,,,,,,3,Election 2004
Nebraska,5,32,67,,Jan 01,,,,,,,5,Election 2004
Nevada,5,48,51,,Jan 01,,,,,5,,,Election 2004
New Hampshire,4,50,49,,Jan 01,,,4,,,,,Election 2004
New Jersey,15,53,47,,Jan 01,,15,,,,,,Election 2004
New Mexico,5,49,50,,Jan 01,,,,,5,,,Election 2004
New York,31,58,41,,Jan 01,31,,,,,,,Election 2004
North Carolina,15,44,56,,Jan 01,,,,,,,15,Election 2004
North Dakota,3,36,63,,Jan 01,,,,,,,3,Election 2004
Ohio,20,49,51,,Jan 01,,,,,20,,,Election 2004
Oklahoma,7,34,66,,Jan 01,,,,,,,7,Election 2004
Oregon,7,52,48,,Jan 01,,,7,,,,,Election 2004
Pennsylvania,21,51,49,,Jan 01,,,21,,,,,Election 2004
Rhode Island,4,60,39,,Jan 01,4,,,,,,,Election 2004
South Carolina,8,41,58,,Jan 01,,,,,,,8,Election 2004
South Dakota,3,38,60,,Jan 01,,,,,,,3,Election 2004
Tennessee,11,43,57,,Jan 01,,,,,,,11,Election 2004
Texas,34,38,61,,Jan 01,,,,,,,34,Election 2004
Utah,5,26,71,,Jan 01,,,,,,,5,Election 2004
Vermont,3,59,39,,Jan 01,3,,,,,,,Election 2004
Virginia,13,45,54,,Jan 01,,,,,,13,,Election 2004
Washington,11,53,46,,Jan 01,,11,,,,,,Election 2004
West Virginia,5,43,56,,Jan 01,,,,,,,5,Election 2004
Wisconsin,10,50,49,,Jan 01,,,10,,,,,Election 2004
Wyoming,3,29,69,,Jan 01,,,,,,,3,Election 2004
Alabama,9,37,63,,Jan 01,,,,,,,9,Election 2004
Alaska,3,35,62,,Jan 01,,,,,,,3,Election 2004
Arizona,10,45,55,,Jan 01,,,,,,,10,Election 2004
Arkansas,6,45,54,,Jan 01,,,,,,6,,Election 2004
California,55,55,44,,Jan 01,55,,,,,,,Election 2004
Colorado,9,47,52,,Jan 01,,,,,,9,,Election 2004
Connecticut,7,54,44,,Jan 01,7,,,,,,,Election 2004
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,53,46,,Jan 01,,3,,,,,,Election 2004
Florida,27,47,52,,Jan 01,,,,,,27,,Election 2004
Georgia,15,41,58,,Jan 01,,,,,,,15,Election 2004
Hawaii,4,54,45,,Jan 01,,4,,,,,,Election 2004
Idaho,4,30,69,,Jan 01,,,,,,,4,Election 2004
Illinois,21,55,45,,Jan 01,21,,,,,,,Election 2004
Indiana,11,39,60,,Jan 01,,,,,,,11,Election 2004
Iowa,7,49,50,,Jan 01,,,,,7,,,Election 2004
Kansas,6,37,62,,Jan 01,,,,,,,6,Election 2004
Kentucky,8,40,60,,Jan 01,,,,,,,8,Election 2004
Louisiana,9,42,57,,Jan 01,,,,,,,9,Election 2004
Maine,4,53,45,,Jan 01,,4,,,,,,Election 2004
Maryland,10,56,43,,Jan 01,10,,,,,,,Election 2004
Massachusetts,12,62,37,,Jan 01,12,,,,,,,Election 2004
Michigan,17,51,48,,Jan 01,,,17,,,,,Election 2004
Minnesota,10,51,48,,Jan 01,,,10,,,,,Election 2004
Mississippi,6,40,60,,Jan 01,,,,,,,6,Election 2004
Missouri,11,46,53,,Jan 01,,,,,,11,,Election 2004
Montana,3,39,59,,Jan 01,,,,,,,3,Election 2004
Nebraska,5,32,67,,Jan 01,,,,,,,5,Election 2004
Nevada,5,48,51,,Jan 01,,,,,5,,,Election 2004
New Hampshire,4,50,49,,Jan 01,,,4,,,,,Election 2004
New Jersey,15,53,47,,Jan 01,,15,,,,,,Election 2004
New Mexico,5,49,50,,Jan 01,,,,,5,,,Election 2004
New York,31,58,41,,Jan 01,31,,,,,,,Election 2004
North Carolina,15,44,56,,Jan 01,,,,,,,15,Election 2004
North Dakota,3,36,63,,Jan 01,,,,,,,3,Election 2004
Ohio,20,49,51,,Jan 01,,,,,20,,,Election 2004
Oklahoma,7,34,66,,Jan 01,,,,,,,7,Election 2004
Oregon,7,52,48,,Jan 01,,,7,,,,,Election 2004
Pennsylvania,21,51,49,,Jan 01,,,21,,,,,Election 2004
Rhode Island,4,60,39,,Jan 01,4,,,,,,,Election 2004
South Carolina,8,41,58,,Jan 01,,,,,,,8,Election 2004
South Dakota,3,38,60,,Jan 01,,,,,,,3,Election 2004
Tennessee,11,43,57,,Jan 01,,,,,,,11,Election 2004
Texas,34,38,61,,Jan 01,,,,,,,34,Election 2004
Utah,5,26,71,,Jan 01,,,,,,,5,Election 2004
Vermont,3,59,39,,Jan 01,3,,,,,,,Election 2004
Virginia,13,45,54,,Jan 01,,,,,,13,,Election 2004
Washington,11,53,46,,Jan 01,,11,,,,,,Election 2004
West Virginia,5,43,56,,Jan 01,,,,,,,5,Election 2004
Wisconsin,10,50,49,,Jan 01,,,10,,,,,Election 2004
Wyoming,3,29,69,,Jan 01,,,,,,,3,Election 2004
Alabama,9,37,63,,Jan 01,,,,,,,9,Election 2004
Alaska,3,35,62,,Jan 01,,,,,,,3,Election 2004
Arizona,10,45,55,,Jan 01,,,,,,,10,Election 2004
Arkansas,6,45,54,,Jan 01,,,,,,6,,Election 2004
California,55,55,44,,Jan 01,55,,,,,,,Election 2004
Colorado,9,47,52,,Jan 01,,,,,,9,,Election 2004
Connecticut,7,54,44,,Jan 01,7,,,,,,,Election 2004
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,53,46,,Jan 01,,3,,,,,,Election 2004
Florida,27,47,52,,Jan 01,,,,,,27,,Election 2004
Georgia,15,41,58,,Jan 01,,,,,,,15,Election 2004
Hawaii,4,54,45,,Jan 01,,4,,,,,,Election 2004
Idaho,4,30,69,,Jan 01,,,,,,,4,Election 2004
Illinois,21,55,45,,Jan 01,21,,,,,,,Election 2004
Indiana,11,39,60,,Jan 01,,,,,,,11,Election 2004
Iowa,7,49,50,,Jan 01,,,,,7,,,Election 2004
Kansas,6,37,62,,Jan 01,,,,,,,6,Election 2004
Kentucky,8,40,60,,Jan 01,,,,,,,8,Election 2004
Louisiana,9,42,57,,Jan 01,,,,,,,9,Election 2004
Maine,4,53,45,,Jan 01,,4,,,,,,Election 2004
Maryland,10,56,43,,Jan 01,10,,,,,,,Election 2004
Massachusetts,12,62,37,,Jan 01,12,,,,,,,Election 2004
Michigan,17,51,48,,Jan 01,,,17,,,,,Election 2004
Minnesota,10,51,48,,Jan 01,,,10,,,,,Election 2004
Mississippi,6,40,60,,Jan 01,,,,,,,6,Election 2004
Missouri,11,46,53,,Jan 01,,,,,,11,,Election 2004
Montana,3,39,59,,Jan 01,,,,,,,3,Election 2004
Nebraska,5,32,67,,Jan 01,,,,,,,5,Election 2004
Nevada,5,48,51,,Jan 01,,,,,5,,,Election 2004
New Hampshire,4,50,49,,Jan 01,,,4,,,,,Election 2004
New Jersey,15,53,47,,Jan 01,,15,,,,,,Election 2004
New Mexico,5,49,50,,Jan 01,,,,,5,,,Election 2004
New York,31,58,41,,Jan 01,31,,,,,,,Election 2004
North Carolina,15,44,56,,Jan 01,,,,,,,15,Election 2004
North Dakota,3,36,63,,Jan 01,,,,,,,3,Election 2004
Ohio,20,49,51,,Jan 01,,,,,20,,,Election 2004
Oklahoma,7,34,66,,Jan 01,,,,,,,7,Election 2004
Oregon,7,52,48,,Jan 01,,,7,,,,,Election 2004
Pennsylvania,21,51,49,,Jan 01,,,21,,,,,Election 2004
Rhode Island,4,60,39,,Jan 01,4,,,,,,,Election 2004
South Carolina,8,41,58,,Jan 01,,,,,,,8,Election 2004
South Dakota,3,38,60,,Jan 01,,,,,,,3,Election 2004
Tennessee,11,43,57,,Jan 01,,,,,,,11,Election 2004
Texas,34,38,61,,Jan 01,,,,,,,34,Election 2004
Utah,5,26,71,,Jan 01,,,,,,,5,Election 2004
Vermont,3,59,39,,Jan 01,3,,,,,,,Election 2004
Virginia,13,45,54,,Jan 01,,,,,,13,,Election 2004
Washington,11,53,46,,Jan 01,,11,,,,,,Election 2004
West Virginia,5,43,56,,Jan 01,,,,,,,5,Election 2004
Wisconsin,10,50,49,,Jan 01,,,10,,,,,Election 2004
Wyoming,3,29,69,,Jan 01,,,,,,,3,Election 2004
Alabama,9,37,63,,Jan 01,,,,,,,9,Election 2004
Alaska,3,35,62,,Jan 01,,,,,,,3,Election 2004
Arizona,10,45,55,,Jan 01,,,,,,,10,Election 2004
Arkansas,6,45,54,,Jan 01,,,,,,6,,Election 2004
California,55,55,44,,Jan 01,55,,,,,,,Election 2004
Colorado,9,47,52,,Jan 01,,,,,,9,,Election 2004
Connecticut,7,54,44,,Jan 01,7,,,,,,,Election 2004
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,53,46,,Jan 01,,3,,,,,,Election 2004
Florida,27,47,52,,Jan 01,,,,,,27,,Election 2004
Georgia,15,41,58,,Jan 01,,,,,,,15,Election 2004
Hawaii,4,54,45,,Jan 01,,4,,,,,,Election 2004
Idaho,4,30,69,,Jan 01,,,,,,,4,Election 2004
Illinois,21,55,45,,Jan 01,21,,,,,,,Election 2004
Indiana,11,39,60,,Jan 01,,,,,,,11,Election 2004
Iowa,7,49,50,,Jan 01,,,,,7,,,Election 2004
Kansas,6,37,62,,Jan 01,,,,,,,6,Election 2004
Kentucky,8,40,60,,Jan 01,,,,,,,8,Election 2004
Louisiana,9,42,57,,Jan 01,,,,,,,9,Election 2004
Maine,4,53,45,,Jan 01,,4,,,,,,Election 2004
Maryland,10,56,43,,Jan 01,10,,,,,,,Election 2004
Massachusetts,12,62,37,,Jan 01,12,,,,,,,Election 2004
Michigan,17,51,48,,Jan 01,,,17,,,,,Election 2004
Minnesota,10,51,48,,Jan 01,,,10,,,,,Election 2004
Mississippi,6,40,60,,Jan 01,,,,,,,6,Election 2004
Missouri,11,46,53,,Jan 01,,,,,,11,,Election 2004
Montana,3,39,59,,Jan 01,,,,,,,3,Election 2004
Nebraska,5,32,67,,Jan 01,,,,,,,5,Election 2004
Nevada,5,48,51,,Jan 01,,,,,5,,,Election 2004
New Hampshire,4,50,49,,Jan 01,,,4,,,,,Election 2004
New Jersey,15,53,47,,Jan 01,,15,,,,,,Election 2004
New Mexico,5,49,50,,Jan 01,,,,,5,,,Election 2004
New York,31,58,41,,Jan 01,31,,,,,,,Election 2004
North Carolina,15,44,56,,Jan 01,,,,,,,15,Election 2004
North Dakota,3,36,63,,Jan 01,,,,,,,3,Election 2004
Ohio,20,49,51,,Jan 01,,,,,20,,,Election 2004
Oklahoma,7,34,66,,Jan 01,,,,,,,7,Election 2004
Oregon,7,52,48,,Jan 01,,,7,,,,,Election 2004
Pennsylvania,21,51,49,,Jan 01,,,21,,,,,Election 2004
Rhode Island,4,60,39,,Jan 01,4,,,,,,,Election 2004
South Carolina,8,41,58,,Jan 01,,,,,,,8,Election 2004
South Dakota,3,38,60,,Jan 01,,,,,,,3,Election 2004
Tennessee,11,43,57,,Jan 01,,,,,,,11,Election 2004
Texas,34,38,61,,Jan 01,,,,,,,34,Election 2004
Utah,5,26,71,,Jan 01,,,,,,,5,Election 2004
Vermont,3,59,39,,Jan 01,3,,,,,,,Election 2004
Virginia,13,45,54,,Jan 01,,,,,,13,,Election 2004
Washington,11,53,46,,Jan 01,,11,,,,,,Election 2004
West Virginia,5,43,56,,Jan 01,,,,,,,5,Election 2004
Wisconsin,10,50,49,,Jan 01,,,10,,,,,Election 2004
Wyoming,3,29,69,,Jan 01,,,,,,,3,Election 2004
Alabama,9,37,63,,Jan 01,,,,,,,9,Election 2004
Alaska,3,35,62,,Jan 01,,,,,,,3,Election 2004
Arizona,10,45,55,,Jan 01,,,,,,,10,Election 2004
Arkansas,6,45,54,,Jan 01,,,,,,6,,Election 2004
California,55,55,44,,Jan 01,55,,,,,,,Election 2004
Colorado,9,47,52,,Jan 01,,,,,,9,,Election 2004
Connecticut,7,54,44,,Jan 01,7,,,,,,,Election 2004
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,53,46,,Jan 01,,3,,,,,,Election 2004
Florida,27,47,52,,Jan 01,,,,,,27,,Election 2004
Georgia,15,41,58,,Jan 01,,,,,,,15,Election 2004
Hawaii,4,54,45,,Jan 01,,4,,,,,,Election 2004
Idaho,4,30,69,,Jan 01,,,,,,,4,Election 2004
Illinois,21,55,45,,Jan 01,21,,,,,,,Election 2004
Indiana,11,39,60,,Jan 01,,,,,,,11,Election 2004
Iowa,7,49,50,,Jan 01,,,,,7,,,Election 2004
Kansas,6,37,62,,Jan 01,,,,,,,6,Election 2004
Kentucky,8,40,60,,Jan 01,,,,,,,8,Election 2004
Louisiana,9,42,57,,Jan 01,,,,,,,9,Election 2004
Maine,4,53,45,,Jan 01,,4,,,,,,Election 2004
Maryland,10,56,43,,Jan 01,10,,,,,,,Election 2004
Massachusetts,12,62,37,,Jan 01,12,,,,,,,Election 2004
Michigan,17,51,48,,Jan 01,,,17,,,,,Election 2004
Minnesota,10,51,48,,Jan 01,,,10,,,,,Election 2004
Mississippi,6,40,60,,Jan 01,,,,,,,6,Election 2004
Missouri,11,46,53,,Jan 01,,,,,,11,,Election 2004
Montana,3,39,59,,Jan 01,,,,,,,3,Election 2004
Nebraska,5,32,67,,Jan 01,,,,,,,5,Election 2004
Nevada,5,48,51,,Jan 01,,,,,5,,,Election 2004
New Hampshire,4,50,49,,Jan 01,,,4,,,,,Election 2004
New Jersey,15,53,47,,Jan 01,,15,,,,,,Election 2004
New Mexico,5,49,50,,Jan 01,,,,,5,,,Election 2004
New York,31,58,41,,Jan 01,31,,,,,,,Election 2004
North Carolina,15,44,56,,Jan 01,,,,,,,15,Election 2004
North Dakota,3,36,63,,Jan 01,,,,,,,3,Election 2004
Ohio,20,49,51,,Jan 01,,,,,20,,,Election 2004
Oklahoma,7,34,66,,Jan 01,,,,,,,7,Election 2004
Oregon,7,52,48,,Jan 01,,,7,,,,,Election 2004
Pennsylvania,21,51,49,,Jan 01,,,21,,,,,Election 2004
Rhode Island,4,60,39,,Jan 01,4,,,,,,,Election 2004
South Carolina,8,41,58,,Jan 01,,,,,,,8,Election 2004
South Dakota,3,38,60,,Jan 01,,,,,,,3,Election 2004
Tennessee,11,43,57,,Jan 01,,,,,,,11,Election 2004
Texas,34,38,61,,Jan 01,,,,,,,34,Election 2004
Utah,5,26,71,,Jan 01,,,,,,,5,Election 2004
Vermont,3,59,39,,Jan 01,3,,,,,,,Election 2004
Virginia,13,45,54,,Jan 01,,,,,,13,,Election 2004
Washington,11,53,46,,Jan 01,,11,,,,,,Election 2004
West Virginia,5,43,56,,Jan 01,,,,,,,5,Election 2004
Wisconsin,10,50,49,,Jan 01,,,10,,,,,Election 2004
Wyoming,3,29,69,,Jan 01,,,,,,,3,Election 2004
Alabama,9,37,63,,Jan 01,,,,,,,9,Election 2004
Alaska,3,35,62,,Jan 01,,,,,,,3,Election 2004
Arizona,10,45,55,,Jan 01,,,,,,,10,Election 2004
Arkansas,6,45,54,,Jan 01,,,,,,6,,Election 2004
California,55,55,44,,Jan 01,55,,,,,,,Election 2004
Colorado,9,47,52,,Jan 01,,,,,,9,,Election 2004
Connecticut,7,54,44,,Jan 01,7,,,,,,,Election 2004
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,53,46,,Jan 01,,3,,,,,,Election 2004
Florida,27,47,52,,Jan 01,,,,,,27,,Election 2004
Georgia,15,41,58,,Jan 01,,,,,,,15,Election 2004
Hawaii,4,54,45,,Jan 01,,4,,,,,,Election 2004
Idaho,4,30,69,,Jan 01,,,,,,,4,Election 2004
Illinois,21,55,45,,Jan 01,21,,,,,,,Election 2004
Indiana,11,39,60,,Jan 01,,,,,,,11,Election 2004
Iowa,7,49,50,,Jan 01,,,,,7,,,Election 2004
Kansas,6,37,62,,Jan 01,,,,,,,6,Election 2004
Kentucky,8,40,60,,Jan 01,,,,,,,8,Election 2004
Louisiana,9,42,57,,Jan 01,,,,,,,9,Election 2004
Maine,4,53,45,,Jan 01,,4,,,,,,Election 2004
Maryland,10,56,43,,Jan 01,10,,,,,,,Election 2004
Massachusetts,12,62,37,,Jan 01,12,,,,,,,Election 2004
Michigan,17,51,48,,Jan 01,,,17,,,,,Election 2004
Minnesota,10,51,48,,Jan 01,,,10,,,,,Election 2004
Mississippi,6,40,60,,Jan 01,,,,,,,6,Election 2004
Missouri,11,46,53,,Jan 01,,,,,,11,,Election 2004
Montana,3,39,59,,Jan 01,,,,,,,3,Election 2004
Nebraska,5,32,67,,Jan 01,,,,,,,5,Election 2004
Nevada,5,48,51,,Jan 01,,,,,5,,,Election 2004
New Hampshire,4,50,49,,Jan 01,,,4,,,,,Election 2004
New Jersey,15,53,47,,Jan 01,,15,,,,,,Election 2004
New Mexico,5,49,50,,Jan 01,,,,,5,,,Election 2004
New York,31,58,41,,Jan 01,31,,,,,,,Election 2004
North Carolina,15,44,56,,Jan 01,,,,,,,15,Election 2004
North Dakota,3,36,63,,Jan 01,,,,,,,3,Election 2004
Ohio,20,49,51,,Jan 01,,,,,20,,,Election 2004
Oklahoma,7,34,66,,Jan 01,,,,,,,7,Election 2004
Oregon,7,52,48,,Jan 01,,,7,,,,,Election 2004
Pennsylvania,21,51,49,,Jan 01,,,21,,,,,Election 2004
Rhode Island,4,60,39,,Jan 01,4,,,,,,,Election 2004
South Carolina,8,41,58,,Jan 01,,,,,,,8,Election 2004
South Dakota,3,38,60,,Jan 01,,,,,,,3,Election 2004
Tennessee,11,43,57,,Jan 01,,,,,,,11,Election 2004
Texas,34,38,61,,Jan 01,,,,,,,34,Election 2004
Utah,5,26,71,,Jan 01,,,,,,,5,Election 2004
Vermont,3,59,39,,Jan 01,3,,,,,,,Election 2004
Virginia,13,45,54,,Jan 01,,,,,,13,,Election 2004
Washington,11,53,46,,Jan 01,,11,,,,,,Election 2004
West Virginia,5,43,56,,Jan 01,,,,,,,5,Election 2004
Wisconsin,10,50,49,,Jan 01,,,10,,,,,Election 2004
Wyoming,3,29,69,,Jan 01,,,,,,,3,Election 2004
Alabama,9,37,63,,Jan 01,,,,,,,9,Election 2004
Alaska,3,35,62,,Jan 01,,,,,,,3,Election 2004
Arizona,10,45,55,,Jan 01,,,,,,,10,Election 2004
Arkansas,6,45,54,,Jan 01,,,,,,6,,Election 2004
California,55,55,44,,Jan 01,55,,,,,,,Election 2004
Colorado,9,47,52,,Jan 01,,,,,,9,,Election 2004
Connecticut,7,54,44,,Jan 01,7,,,,,,,Election 2004
D.C.,3,90,9,,Jan 01,3,,,,,,,Election 2004
Delaware,3,53,46,,Jan 01,,3,,,,,,Election 2004
Florida,27,47,52,,Jan 01,,,,,,27,,Election 2004
Georgia,15,41,58,,Jan 01,,,,,,,15,Election 2004
Hawaii,4,54,45,,Jan 01,,4,,,,,,Election 2004
Idaho,4,30,69,,Jan 01,,,,,,,4,Election 2004
Illinois,21,55,45,,Jan 01,21,,,,,,,Election 2004
Indiana,11,39,60,,Jan 01,,,,,,,11,Election 2004
Iowa,7,49,50,,Jan 01,,,,,7,,,Election 2004
Kansas,6,37,62,,Jan 01,,,,,,,6,Election 2004
Kentucky,8,40,60,,Jan 01,,,,,,,8,Election 2004
Louisiana,9,42,57,,Jan 01,,,,,,,9,Election 2004
Maine,4,53,45,,Jan 01,,4,,,,,,Election 2004
Maryland,10,56,43,,Jan 01,10,,,,,,,Election 2004
Massachusetts,12,62,37,,Jan 01,12,,,,,,,Election 2004
Michigan,17,51,48,,Jan 01,,,17,,,,,Election 2004
Minnesota,10,51,48,,Jan 01,,,10,,,,,Election 2004
Mississippi,6,40,60,,Jan 01,,,,,,,6,Election 2004
Missouri,11,46,53,,Jan 01,,,,,,11,,Election 2004
Montana,3,39,59,,Jan 01,,,,,,,3,Election 2004
Nebraska,5,32,67,,Jan 01,,,,,,,5,Election 2004
Nevada,5,48,51,,Jan 01,,,,,5,,,Election 2004
New Hampshire,4,50,49,,Jan 01,,,4,,,,,Election 2004
New Jersey,15,53,47,,Jan 01,,15,,,,,,Election 2004
New Mexico,5,49,50,,Jan 01,,,,,5,,,Election 2004
New York,31,58,41,,Jan 01,31,,,,,,,Election 2004
